rule,margin,GeoMean,SustainMs,BodyE
GeoMean > 221.0 AND SustainMs > 69.7 AND BodyE > 31.6,61.9625801531144,221.00929563317982,69.71837420261927,31.632467733743038
GeoMean > 220.2 AND SustainMs > 73.3 AND BodyE > 31.5,61.30094144946486,220.16261986047536,73.26758594484315,31.493398285189752
GeoMean > 236.0 AND SustainMs > 70.0 AND BodyE > 32.7,60.674016059743046,236.04216799933667,69.9759418871362,32.66386455167524
GeoMean > 226.0 AND SustainMs > 75.9 AND BodyE > 30.9,60.57467333688401,226.01187751472344,75.91044541754071,30.86204248924052
GeoMean > 271.9 AND SustainMs > 61.2 AND BodyE > 34.4,59.82059510804768,271.93807769489007,61.20666036284924,34.39404516716619
GeoMean > 202.1 AND SustainMs > 86.3 AND BodyE > 30.9,59.805841581068854,202.0985804152826,86.3268254405672,30.893328983112646
GeoMean > 234.7 AND SustainMs > 74.1 AND BodyE > 34.0,59.464381907621316,234.68065043758273,74.10892019283973,34.00880164334094
GeoMean > 216.7 AND SustainMs > 72.8 AND BodyE > 40.8,58.76568211873114,216.70150328871722,72.75181808320721,40.80791665620751
GeoMean > 230.3 AND SustainMs > 73.4 AND BodyE > 38.3,58.555202596804214,230.30517855890673,73.39290209863783,38.341727696199335
GeoMean > 219.2 AND SustainMs > 63.8 AND BodyE > 48.3,58.214413986180176,219.17452546270366,63.79171167594908,48.336851922587456
GeoMean > 258.0 AND SustainMs > 66.4 AND BodyE > 39.0,58.153973035994476,258.03632025345814,66.44036988304538,38.96033651017343
GeoMean > 265.1 AND SustainMs > 71.4 AND BodyE > 34.6,58.01257863438044,265.09722993518335,71.37907467772429,34.58595275769418
GeoMean > 214.3 AND SustainMs > 70.9 AND BodyE > 45.3,57.908226560261745,214.34278681992356,70.93834601146781,45.33307150521209
GeoMean > 223.6 AND SustainMs > 71.3 AND BodyE > 43.4,57.86431364288543,223.61431983273377,71.28693330460965,43.38901339705176
GeoMean > 282.3 AND SustainMs > 60.8 AND BodyE > 39.4,57.73788401844457,282.3273441280148,60.78318182346173,39.41231901439893
GeoMean > 280.5 AND SustainMs > 74.5 AND BodyE > 30.6,57.624575519015856,280.54212345855575,74.51367896751314,30.600323792863463
GeoMean > 227.7 AND SustainMs > 87.7 AND BodyE > 32.0,57.598088606489796,227.66619358167304,87.73830385530079,32.02419747758348
GeoMean > 216.8 AND SustainMs > 69.1 AND BodyE > 47.1,57.584680412523426,216.82191127188105,69.13257257744816,47.149015274802125
GeoMean > 272.2 AND SustainMs > 73.1 AND BodyE > 33.7,57.49718459734194,272.15602184374075,73.09831696772697,33.667741131919286
GeoMean > 255.0 AND SustainMs > 69.5 AND BodyE > 39.7,57.47031018524357,254.96248664958432,69.4598750612794,39.70423508881619
GeoMean > 239.9 AND SustainMs > 80.8 AND BodyE > 34.9,57.4628023515783,239.91553328143672,80.76748530075983,34.86932062278597
GeoMean > 211.1 AND SustainMs > 61.2 AND BodyE > 54.3,57.445130662786404,211.07976777226077,61.16896325192775,54.278112442732606
GeoMean > 227.7 AND SustainMs > 60.4 AND BodyE > 52.3,57.222617588613694,227.74536053553035,60.353856976467256,52.253232742054294
GeoMean > 246.7 AND SustainMs > 84.2 AND BodyE > 32.7,56.98983310744077,246.6640601349132,84.17203615366256,32.703945454247595
GeoMean > 215.3 AND SustainMs > 72.8 AND BodyE > 46.9,56.96604095987305,215.2709890748692,72.77393517592093,46.94587320167093
GeoMean > 303.0 AND SustainMs > 60.1 AND BodyE > 38.6,56.85292150772006,302.99001793848083,60.132078137468355,38.63831136270525
GeoMean > 268.7 AND SustainMs > 65.6 AND BodyE > 42.2,56.69356732749072,268.7297195426882,65.58967515556108,42.18547760717162
GeoMean > 203.8 AND SustainMs > 90.7 AND BodyE > 38.1,56.571642704065574,203.83201632461265,90.6696332742601,38.078699750180654
GeoMean > 228.0 AND SustainMs > 79.9 AND BodyE > 41.6,56.30520083475893,227.96317506411285,79.90539269422922,41.62169665989255
GeoMean > 206.0 AND SustainMs > 100.3 AND BodyE > 32.0,56.23140602943149,206.0490108492261,100.34197292464428,32.028900189189926
